,image_id,width,height,bbox,source
45311,5a5fff341,1024,1024,"[931, 73, 93, 138]",arvalis_1
105862,f4f62f0f8,1024,1024,"[531.0, 720.0, 54.0, 96.0]",ethz_1
17460,65cb7e88b,1024,1024,"[687.0, 178.0, 70.0, 80.0]",arvalis_1
71085,c7385941e,1024,1024,"[837.0, 675.0, 127.0, 88.0]",ethz_1
71232,fcaaff29d,1024,1024,"[0.0, 273.0, 69.0, 49.0]",ethz_1
71080,c7385941e,1024,1024,"[506.0, 101.0, 88.0, 65.0]",ethz_1
139112,4a2662fae,1024,1024,"[15.0, 778.0, 115.0, 68.0]",rres_1
121131,82344bf14,1024,1024,"[74.0, 284.0, 97.0, 71.0]",arvalis_3
54243,0a4dc77c7,1024,1024,"[737.0, 711.0, 82.0, 105.0]",inrae_1
13199,d8ea34c21,1024,1024,"[647.0, 728.0, 96.0, 70.0]",arvalis_1
46897,ac9e20f82,1024,1024,"[275, 304, 74, 48]",arvalis_1
142897,5a28cf3a1,1024,1024,"[849.0, 0.0, 62.0, 129.0]",rres_1
32338,043a957ca,1024,1024,"[0, 449, 34, 74]",arvalis_1
31253,9a34996be,1024,1024,"[176, 278, 60, 74]",arvalis_1
8240,b2de96e22,1024,1024,"[283.0, 665.0, 97.0, 68.0]",arvalis_1
6470,f6181ac93,1024,1024,"[0.0, 320.0, 77.0, 58.0]",arvalis_1
115948,7767b2fe0,1024,1024,"[166.0, 716.0, 64.0, 103.0]",arvalis_3
72291,4cb33fd6e,1024,1024,"[559.0, 462.0, 63.0, 97.0]",ethz_1
66478,3c14db5cc,1024,1024,"[872.0, 961.0, 79.0, 44.0]",ethz_1
94333,b04239da0,1024,1024,"[770.0, 652.0, 75.0, 79.0]",ethz_1
78511,a0e06275c,1024,1024,"[623.0, 0.0, 63.0, 45.0]",ethz_1
92807,a7e9ac14b,1024,1024,"[537.0, 179.0, 65.0, 56.0]",ethz_1
2408,efda9b4e7,1024,1024,"[748.0, 714.0, 139.0, 116.0]",usask_1
21145,41f3feb3c,1024,1024,"[596.0, 449.0, 94.0, 59.0]",arvalis_1
25887,b18b34ed2,1024,1024,"[265.0, 60.0, 65.0, 64.0]",arvalis_1
116356,013fd7d80,1024,1024,"[653.0, 835.0, 92.0, 87.0]",arvalis_3
