,bbox,image_id,category,name
0,"[534, 593, 148, 130]",0,1,bonirob_2016-05-23-10-37-10_0_frame100
1,"[531, 1, 225, 204]",0,1,bonirob_2016-05-23-10-37-10_0_frame100
2,"[501, 753, 224, 206]",1,1,bonirob_2016-05-23-10-37-10_0_frame101
3,"[586, 353, 251, 328]",2,1,bonirob_2016-05-23-10-37-10_0_frame102
4,"[492, 1, 229, 131]",2,1,bonirob_2016-05-23-10-37-10_0_frame102
5,"[475, 613, 227, 265]",3,1,bonirob_2016-05-23-10-37-10_0_frame103
6,"[673, 208, 66, 61]",3,1,bonirob_2016-05-23-10-37-10_0_frame103
7,"[921, 0, 53, 16]",3,1,bonirob_2016-05-23-10-37-10_0_frame103
8,"[802, 0, 97, 107]",3,1,bonirob_2016-05-23-10-37-10_0_frame103
9,"[926, 819, 13, 6]",4,1,bonirob_2016-05-23-10-37-10_0_frame104
10,"[728, 599, 264, 314]",4,1,bonirob_2016-05-23-10-37-10_0_frame104
11,"[639, 465, 166, 205]",4,1,bonirob_2016-05-23-10-37-10_0_frame104
12,"[541, 1, 341, 149]",4,1,bonirob_2016-05-23-10-37-10_0_frame104
13,"[514, 663, 340, 196]",5,1,bonirob_2016-05-23-10-37-10_0_frame105
14,"[619, 59, 212, 214]",5,1,bonirob_2016-05-23-10-37-10_0_frame105
15,"[611, 812, 197, 153]",6,1,bonirob_2016-05-23-10-37-10_0_frame106
16,"[558, 260, 221, 260]",6,1,bonirob_2016-05-23-10-37-10_0_frame106
17,"[0, 243, 106, 118]",6,1,bonirob_2016-05-23-10-37-10_0_frame106
18,"[0, 220, 16, 47]",6,1,bonirob_2016-05-23-10-37-10_0_frame106
19,"[769, 1, 110, 75]",6,1,bonirob_2016-05-23-10-37-10_0_frame106
20,"[517, 599, 345, 288]",7,1,bonirob_2016-05-23-10-37-10_0_frame107
21,"[607, 203, 267, 309]",8,1,bonirob_2016-05-23-10-37-10_0_frame108
22,"[718, 1, 71, 107]",8,1,bonirob_2016-05-23-10-37-10_0_frame108
23,"[674, 1, 39, 29]",8,1,bonirob_2016-05-23-10-37-10_0_frame108
24,"[608, 495, 175, 348]",9,1,bonirob_2016-05-23-10-37-10_0_frame109
25,"[604, 36, 172, 217]",9,1,bonirob_2016-05-23-10-37-10_0_frame109
26,"[675, 2, 45, 35]",9,1,bonirob_2016-05-23-10-37-10_0_frame109
27,"[581, 788, 167, 177]",10,1,bonirob_2016-05-23-10-37-10_0_frame110
