,image_id,width,height,bbox,source
8900,8083f65f2,1024,1024,"[666.0, 788.0, 72.0, 53.0]",arvalis_1
6468,f6181ac93,1024,1024,"[112.0, 430.0, 101.0, 49.0]",arvalis_1
97803,37a28463a,1024,1024,"[657.0, 575.0, 76.0, 60.0]",ethz_1
77146,5ef03457c,1024,1024,"[948.0, 705.0, 55.0, 60.0]",ethz_1
74060,0a3cb453f,1024,1024,"[231.0, 825.0, 114.0, 46.0]",ethz_1
78521,a0e06275c,1024,1024,"[1.0, 576.0, 54.0, 27.0]",ethz_1
97571,e90129be4,1024,1024,"[135.0, 228.0, 64.0, 105.0]",ethz_1
16963,87196861b,1024,1024,"[713.0, 572.0, 68.0, 49.0]",arvalis_1
24296,47e218059,1024,1024,"[735.0, 671.0, 75.0, 53.0]",arvalis_1
47003,96fa7bbcb,1024,1024,"[751, 62, 71, 77]",arvalis_1
143102,e089dca60,1024,1024,"[458.0, 763.0, 78.0, 78.0]",rres_1
126852,b9bffd5e2,1024,1024,"[1.0, 141.0, 58.0, 178.0]",rres_1
36715,286719f2f,1024,1024,"[253, 736, 89, 177]",arvalis_1
3087,e081e431a,1024,1024,"[236.0, 461.0, 110.0, 210.0]",usask_1
38317,e8e90e8db,1024,1024,"[258, 965, 94, 59]",arvalis_1
51395,4655fcc18,1024,1024,"[784, 359, 176, 149]",arvalis_1
35355,a5c5d1e9f,1024,1024,"[131, 580, 75, 47]",arvalis_1
124892,6b8416819,1024,1024,"[209.0, 1.0, 57.0, 30.0]",rres_1
118783,34df9ca13,1024,1024,"[573.0, 481.0, 87.0, 100.0]",arvalis_3
56606,97b19f207,1024,1024,"[719.0, 866.0, 71.0, 41.0]",ethz_1
59843,237051cce,1024,1024,"[65.0, 925.0, 117.0, 78.0]",ethz_1
91825,73c28bef8,1024,1024,"[608.0, 989.0, 77.0, 33.0]",ethz_1
92596,e7f4f02a7,1024,1024,"[229.0, 647.0, 71.0, 64.0]",ethz_1
31482,4c1c5eca7,1024,1024,"[15, 427, 180, 80]",arvalis_1
37814,9ed44dd50,1024,1024,"[384, 49, 67, 51]",arvalis_1
145397,1b99d2fd6,1024,1024,"[642.0, 739.0, 131.0, 95.0]",arvalis_2
120120,96efbda67,1024,1024,"[166.0, 535.0, 72.0, 135.0]",arvalis_3
109133,931820800,1024,1024,"[157.0, 4.0, 82.0, 107.0]",arvalis_3
5781,5a9be233e,1024,1024,"[487.0, 256.0, 134.0, 79.0]",usask_1
91526,7ab4f3778,1024,1024,"[289.0, 258.0, 50.0, 101.0]",ethz_1
106755,aadb83e1d,1024,1024,"[424.0, 842.0, 136.0, 77.0]",arvalis_3
124583,d39457b35,1024,1024,"[662.0, 779.0, 95.0, 89.0]",rres_1
15331,85f4d894b,1024,1024,"[833.0, 684.0, 74.0, 115.0]",arvalis_1
106203,644eff133,1024,1024,"[195.0, 0.0, 31.0, 70.0]",ethz_1
91702,cf3ebbedd,1024,1024,"[939.0, 847.0, 41.0, 69.0]",ethz_1
140448,1fcc8f8d9,1024,1024,"[536.0, 811.0, 53.0, 100.0]",rres_1
119166,218a99bee,1024,1024,"[0.0, 220.0, 77.0, 120.0]",arvalis_3
43970,03cae970d,1024,1024,"[292, 425, 57, 99]",arvalis_1
132394,3f2eddbe8,1024,1024,"[804.0, 646.0, 72.0, 80.0]",rres_1
139155,dc8e4942d,1024,1024,"[251.0, 464.0, 132.0, 73.0]",rres_1
124559,42f5fe6a5,1024,1024,"[0.0, 134.0, 38.0, 66.0]",rres_1
29200,f6a861545,1024,1024,"[905, 202, 112, 137]",arvalis_1
111688,13c91a4ed,1024,1024,"[611.0, 842.0, 105.0, 77.0]",arvalis_3
134995,93d056da6,1024,1024,"[7.0, 336.0, 70.0, 68.0]",rres_1
70382,a81f68e82,1024,1024,"[552.0, 376.0, 70.0, 152.0]",ethz_1
104409,4fc5adf2d,1024,1024,"[528.0, 791.0, 75.0, 104.0]",ethz_1
122520,0557047b9,1024,1024,"[716.0, 115.0, 172.0, 123.0]",arvalis_3
55756,c742fa9ae,1024,1024,"[512.0, 76.0, 60.0, 41.0]",ethz_1
87992,25cd221bb,1024,1024,"[432.0, 86.0, 70.0, 25.0]",ethz_1
87315,4ae715446,1024,1024,"[114.0, 143.0, 81.0, 78.0]",ethz_1
42143,b1b1b8fba,1024,1024,"[807, 514, 71, 72]",arvalis_1
56922,4d0e29915,1024,1024,"[811.0, 0.0, 199.0, 122.0]",ethz_1
27012,9790095bb,1024,1024,"[114.0, 529.0, 54.0, 45.0]",arvalis_1
82408,d2e7465f0,1024,1024,"[602.0, 742.0, 79.0, 73.0]",ethz_1
